TestCondition,BallID,Name,BallSpeed,LaunchAngle,SpinRate,Time (s),ObservedCarry,SIMULATED
1,1,Ball-11-PH.csv,254,10,42,7.05,291.6,300
2,1,Ball-11-PH.csv,254,9,42,6.83,288.6,300
3,1,Ball-11-PH.csv,254,11,42,7.25,294.1,300
4,1,Ball-11-PH.csv,254,10,37,6.72,289.8,300
5,1,Ball-11-PH.csv,254,9,37,6.49,285.8,300
6,1,Ball-11-PH.csv,254,11,37,6.95,293.2,300
7,1,Ball-11-PH.csv,254,10,52,7.53,288.2,300
8,1,Ball-11-PH.csv,254,9,52,7.36,286.7,300
9,1,Ball-11-PH.csv,254,11,52,7.7,289.4,300
10,1,Ball-11-PH.csv,270,11,37,7.4,314.3,300
11,1,Ball-11-PH.csv,270,10,37,7.19,311.3,300
12,1,Ball-11-PH.csv,270,12,37,7.61,316.7,300
13,1,Ball-11-PH.csv,270,11,33,7.12,312.3,300
14,1,Ball-11-PH.csv,270,10,33,6.89,308.6,300
15,1,Ball-11-PH.csv,270,12,33,7.34,315.5,300
16,1,Ball-11-PH.csv,270,11,47,7.97,312.2,300
17,1,Ball-11-PH.csv,270,10,47,7.79,310.9,300
18,1,Ball-11-PH.csv,270,12,47,8.14,313.2,300
1,2,Ball-11-PP.csv,254,10,42,7.31,289.4,300
2,2,Ball-11-PP.csv,254,9,42,7.12,287.4,300
3,2,Ball-11-PP.csv,254,11,42,7.48,291,300
4,2,Ball-11-PP.csv,254,10,37,7.06,290.6,300
5,2,Ball-11-PP.csv,254,9,37,6.86,287.7,300
6,2,Ball-11-PP.csv,254,11,37,7.26,292.9,300
7,2,Ball-11-PP.csv,254,10,52,7.59,281.2,300
8,2,Ball-11-PP.csv,254,9,52,7.44,280.2,300
9,2,Ball-11-PP.csv,254,11,52,7.73,282,300
10,2,Ball-11-PP.csv,270,11,37,7.72,313.1,300
11,2,Ball-11-PP.csv,270,10,37,7.53,311.2,300
12,2,Ball-11-PP.csv,270,12,37,7.9,314.6,300
13,2,Ball-11-PP.csv,270,11,33,7.49,313.6,300
14,2,Ball-11-PP.csv,270,10,33,7.29,311,300
15,2,Ball-11-PP.csv,270,12,33,7.69,315.6,300
16,2,Ball-11-PP.csv,270,11,47,8.09,306.1,300
17,2,Ball-11-PP.csv,270,10,47,7.93,305.3,300
18,2,Ball-11-PP.csv,270,12,47,8.24,306.7,300
1,3,Ball-12-PH.csv,254,10,42,7.27,290.7,300
2,3,Ball-12-PH.csv,254,9,42,7.09,288.7,300
3,3,Ball-12-PH.csv,254,11,42,7.44,292.2,300
4,3,Ball-12-PH.csv,254,10,37,7.01,291.7,300
5,3,Ball-12-PH.csv,254,9,37,6.8,288.8,300
6,3,Ball-12-PH.csv,254,11,37,7.2,294,300
7,3,Ball-12-PH.csv,254,10,52,7.59,282.3,300
8,3,Ball-12-PH.csv,254,9,52,7.44,281.4,300
9,3,Ball-12-PH.csv,254,11,52,7.73,283,300
10,3,Ball-12-PH.csv,270,11,37,7.66,314.6,300
11,3,Ball-12-PH.csv,270,10,37,7.47,312.7,300
12,3,Ball-12-PH.csv,270,12,37,7.84,316.1,300
13,3,Ball-12-PH.csv,270,11,33,7.42,314.8,300
14,3,Ball-12-PH.csv,270,10,33,7.21,312.2,300
15,3,Ball-12-PH.csv,270,12,33,7.61,316.9,300
16,3,Ball-12-PH.csv,270,11,47,8.07,307.6,300
17,3,Ball-12-PH.csv,270,10,47,7.92,306.9,300
18,3,Ball-12-PH.csv,270,12,47,8.21,308.1,300
1,4,Ball-12-PP.csv,254,10,42,7.21,291.2,300
2,4,Ball-12-PP.csv,254,9,42,7.03,289.3,300
3,4,Ball-12-PP.csv,254,11,42,7.37,292.7,300
4,4,Ball-12-PP.csv,254,10,37,6.96,292.8,300
5,4,Ball-12-PP.csv,254,9,37,6.76,289.9,300
6,4,Ball-12-PP.csv,254,11,37,7.15,295.1,300
7,4,Ball-12-PP.csv,254,10,52,7.49,281.9,300
8,4,Ball-12-PP.csv,254,9,52,7.35,281,300
9,4,Ball-12-PP.csv,254,11,52,7.62,282.5,300
10,4,Ball-12-PP.csv,270,11,37,7.6,315.8,300
11,4,Ball-12-PP.csv,270,10,37,7.42,314,300
12,4,Ball-12-PP.csv,270,12,37,7.77,317.2,300
13,4,Ball-12-PP.csv,270,11,33,7.37,316.4,300
14,4,Ball-12-PP.csv,270,10,33,7.17,313.8,300
15,4,Ball-12-PP.csv,270,12,33,7.56,318.4,300
16,4,Ball-12-PP.csv,270,11,47,7.97,307.7,300
17,4,Ball-12-PP.csv,270,10,47,7.83,307,300
18,4,Ball-12-PP.csv,270,12,47,8.11,308.1,300
1,5,Ball-13-PH.csv,254,10,42,7.03,289.4,300
2,5,Ball-13-PH.csv,254,9,42,6.81,286.2,300
3,5,Ball-13-PH.csv,254,11,42,7.25,292.1,300
4,5,Ball-13-PH.csv,254,10,37,6.7,287.4,300
5,5,Ball-13-PH.csv,254,9,37,6.46,283.1,300
6,5,Ball-13-PH.csv,254,11,37,6.93,290.9,300
7,5,Ball-13-PH.csv,254,10,52,7.56,286.6,300
8,5,Ball-13-PH.csv,254,9,52,7.37,285,300
9,5,Ball-13-PH.csv,254,11,52,7.74,287.8,300
10,5,Ball-13-PH.csv,270,11,37,7.4,311.8,300
11,5,Ball-13-PH.csv,270,10,37,7.17,308.7,300
12,5,Ball-13-PH.csv,270,12,37,7.61,314.3,300
13,5,Ball-13-PH.csv,270,11,33,7.11,309.7,300
14,5,Ball-13-PH.csv,270,10,33,6.87,305.8,300
15,5,Ball-13-PH.csv,270,12,33,7.34,313,300
16,5,Ball-13-PH.csv,270,11,47,7.99,310.3,300
17,5,Ball-13-PH.csv,270,10,47,7.8,308.9,300
18,5,Ball-13-PH.csv,270,12,47,8.17,311.3,300
1,6,Ball-13-PP.csv,254,10,42,7.05,288.1,300
2,6,Ball-13-PP.csv,254,9,42,6.84,285.3,300
3,6,Ball-13-PP.csv,254,11,42,7.25,290.5,300
4,6,Ball-13-PP.csv,254,10,37,6.75,286.8,300
5,6,Ball-13-PP.csv,254,9,37,6.53,283,300
6,6,Ball-13-PP.csv,254,11,37,6.96,289.9,300
7,6,Ball-13-PP.csv,254,10,52,7.52,284.2,300
8,6,Ball-13-PP.csv,254,9,52,7.34,282.8,300
9,6,Ball-13-PP.csv,254,11,52,7.68,285.2,300
10,6,Ball-13-PP.csv,270,11,37,7.42,310.5,300
11,6,Ball-13-PP.csv,270,10,37,7.21,307.8,300
12,6,Ball-13-PP.csv,270,12,37,7.62,312.7,300
13,6,Ball-13-PP.csv,270,11,33,7.16,309,300
14,6,Ball-13-PP.csv,270,10,33,6.94,305.6,300
15,6,Ball-13-PP.csv,270,12,33,7.37,311.8,300
16,6,Ball-13-PP.csv,270,11,47,7.95,308,300
17,6,Ball-13-PP.csv,270,10,47,7.77,306.7,300
18,6,Ball-13-PP.csv,270,12,47,8.12,308.9,300
1,7,Ball-14-PH.csv,254,10,42,7.17,289.5,300
2,7,Ball-14-PH.csv,254,9,42,6.97,287.2,300
3,7,Ball-14-PH.csv,254,11,42,7.35,291.4,300
4,7,Ball-14-PH.csv,254,10,37,6.89,289.9,300
5,7,Ball-14-PH.csv,254,9,37,6.66,286.5,300
6,7,Ball-14-PH.csv,254,11,37,7.1,292.6,300
7,7,Ball-14-PH.csv,254,10,52,7.51,282.1,300
8,7,Ball-14-PH.csv,254,9,52,7.36,280.9,300
9,7,Ball-14-PH.csv,254,11,52,7.66,283.1,300
10,7,Ball-14-PH.csv,270,11,37,7.54,313.2,300
11,7,Ball-14-PH.csv,270,10,37,7.34,310.9,300
12,7,Ball-14-PH.csv,270,12,37,7.73,315,300
13,7,Ball-14-PH.csv,270,11,33,7.29,312.8,300
14,7,Ball-14-PH.csv,270,10,33,7.07,309.7,300
15,7,Ball-14-PH.csv,270,12,33,7.5,315.4,300
16,7,Ball-14-PH.csv,270,11,47,7.98,307.3,300
17,7,Ball-14-PH.csv,270,10,47,7.82,306.2,300
18,7,Ball-14-PH.csv,270,12,47,8.14,308,300
1,8,Ball-14-PP.csv,254,10,42,7.07,290.8,300
2,8,Ball-14-PP.csv,254,9,42,6.87,288.3,300
3,8,Ball-14-PP.csv,254,11,42,7.26,292.8,300
4,8,Ball-14-PP.csv,254,10,37,6.79,290.5,300
5,8,Ball-14-PP.csv,254,9,37,6.57,287,300
6,8,Ball-14-PP.csv,254,11,37,7,293.4,300
7,8,Ball-14-PP.csv,254,10,52,7.45,284.4,300
8,8,Ball-14-PP.csv,254,9,52,7.29,283.3,300
9,8,Ball-14-PP.csv,254,11,52,7.59,285.2,300
10,8,Ball-14-PP.csv,270,11,37,7.45,314.2,300
11,8,Ball-14-PP.csv,270,10,37,7.25,311.7,300
12,8,Ball-14-PP.csv,270,12,37,7.64,316.1,300
13,8,Ball-14-PP.csv,270,11,33,7.2,313.4,300
14,8,Ball-14-PP.csv,270,10,33,6.99,310.2,300
15,8,Ball-14-PP.csv,270,12,33,7.41,316,300
16,8,Ball-14-PP.csv,270,11,47,7.9,309.2,300
17,8,Ball-14-PP.csv,270,10,47,7.74,308.3,300
18,8,Ball-14-PP.csv,270,12,47,8.05,309.9,300
1,9,Ball-15-PH.csv,254,10,42,6.91,289.1,300
2,9,Ball-15-PH.csv,254,9,42,6.68,285.5,300
3,9,Ball-15-PH.csv,254,11,42,7.13,292.1,300
4,9,Ball-15-PH.csv,254,10,37,6.58,286.4,300
5,9,Ball-15-PH.csv,254,9,37,6.33,281.8,300
6,9,Ball-15-PH.csv,254,11,37,6.82,290.3,300
7,9,Ball-15-PH.csv,254,10,52,7.45,287.6,300
8,9,Ball-15-PH.csv,254,9,52,7.25,285.7,300
9,9,Ball-15-PH.csv,254,11,52,7.64,289.1,300
10,9,Ball-15-PH.csv,270,11,37,7.27,311.3,300
11,9,Ball-15-PH.csv,270,10,37,7.04,307.9,300
12,9,Ball-15-PH.csv,270,12,37,7.49,314.2,300
13,9,Ball-15-PH.csv,270,11,33,6.98,308.8,300
14,9,Ball-15-PH.csv,270,10,33,6.74,304.6,300
15,9,Ball-15-PH.csv,270,12,33,7.22,312.4,300
16,9,Ball-15-PH.csv,270,11,47,7.87,311.2,300
17,9,Ball-15-PH.csv,270,10,47,7.67,309.5,300
18,9,Ball-15-PH.csv,270,12,47,8.06,312.5,300
1,10,Ball-15-PP.csv,254,10,42,7.03,288,300
2,10,Ball-15-PP.csv,254,9,42,6.82,285.1,300
3,10,Ball-15-PP.csv,254,11,42,7.23,290.4,300
4,10,Ball-15-PP.csv,254,10,37,6.73,286.6,300
5,10,Ball-15-PP.csv,254,9,37,6.51,282.8,300
6,10,Ball-15-PP.csv,254,11,37,6.95,289.8,300
7,10,Ball-15-PP.csv,254,10,52,7.48,284.1,300
8,10,Ball-15-PP.csv,254,9,52,7.31,282.6,300
9,10,Ball-15-PP.csv,254,11,52,7.65,285.1,300
10,10,Ball-15-PP.csv,270,11,37,7.4,310.4,300
11,10,Ball-15-PP.csv,270,10,37,7.19,307.6,300
12,10,Ball-15-PP.csv,270,12,37,7.6,312.7,300
13,10,Ball-15-PP.csv,270,11,33,7.14,308.9,300
14,10,Ball-15-PP.csv,270,10,33,6.92,305.4,300
15,10,Ball-15-PP.csv,270,12,33,7.36,311.8,300
16,10,Ball-15-PP.csv,270,11,47,7.92,307.8,300
17,10,Ball-15-PP.csv,270,10,47,7.75,306.6,300
18,10,Ball-15-PP.csv,270,12,47,8.09,308.7,300
1,11,Ball-16-PH.csv,254,10,42,7.04,289,300
2,11,Ball-16-PH.csv,254,9,42,6.81,285.8,300
3,11,Ball-16-PH.csv,254,11,42,7.26,291.7,300
4,11,Ball-16-PH.csv,254,10,37,6.72,287.1,300
5,11,Ball-16-PH.csv,254,9,37,6.47,282.9,300
6,11,Ball-16-PH.csv,254,11,37,6.95,290.6,300
7,11,Ball-16-PH.csv,254,10,52,7.55,286.6,300
8,11,Ball-16-PH.csv,254,9,52,7.36,284.9,300
9,11,Ball-16-PH.csv,254,11,52,7.73,287.9,300
10,11,Ball-16-PH.csv,270,11,37,7.41,311.5,300
11,11,Ball-16-PH.csv,270,10,37,7.18,308.4,300
12,11,Ball-16-PH.csv,270,12,37,7.63,314,300
13,11,Ball-16-PH.csv,270,11,33,7.13,309.5,300
14,11,Ball-16-PH.csv,270,10,33,6.89,305.7,300
15,11,Ball-16-PH.csv,270,12,33,7.36,312.7,300
16,11,Ball-16-PH.csv,270,11,47,7.99,310.2,300
17,11,Ball-16-PH.csv,270,10,47,7.79,308.7,300
18,11,Ball-16-PH.csv,270,12,47,8.18,311.3,300
1,12,Ball-16-PP.csv,254,10,42,7.09,289.3,300
2,12,Ball-16-PP.csv,254,9,42,6.88,286.4,300
3,12,Ball-16-PP.csv,254,11,42,7.29,291.6,300
4,12,Ball-16-PP.csv,254,10,37,6.78,288.1,300
5,12,Ball-16-PP.csv,254,9,37,6.55,284.3,300
6,12,Ball-16-PP.csv,254,11,37,7,291.3,300
7,12,Ball-16-PP.csv,254,10,52,7.56,284.7,300
8,12,Ball-16-PP.csv,254,9,52,7.38,283.3,300
9,12,Ball-16-PP.csv,254,11,52,7.72,285.8,300
10,12,Ball-16-PP.csv,270,11,37,7.46,312,300
11,12,Ball-16-PP.csv,270,10,37,7.24,309.3,300
12,12,Ball-16-PP.csv,270,12,37,7.66,314.3,300
13,12,Ball-16-PP.csv,270,11,33,7.19,310.6,300
14,12,Ball-16-PP.csv,270,10,33,6.96,307.1,300
15,12,Ball-16-PP.csv,270,12,33,7.4,313.5,300
16,12,Ball-16-PP.csv,270,11,47,8,308.9,300
17,12,Ball-16-PP.csv,270,10,47,7.82,307.6,300
18,12,Ball-16-PP.csv,270,12,47,8.17,309.8,300
1,13,Ball-1-PH.csv,254,10,42,6.42,277.9,300
2,13,Ball-1-PH.csv,254,9,42,6.19,273.4,300
3,13,Ball-1-PH.csv,254,11,42,6.65,281.7,300
4,13,Ball-1-PH.csv,254,10,37,6.12,273.4,300
5,13,Ball-1-PH.csv,254,9,37,5.88,268.2,300
6,13,Ball-1-PH.csv,254,11,37,6.36,278,300
7,13,Ball-1-PH.csv,254,10,52,7,282.7,300
8,13,Ball-1-PH.csv,254,9,52,6.78,279.6,300
9,13,Ball-1-PH.csv,254,11,52,7.21,285.2,300
10,13,Ball-1-PH.csv,270,11,37,6.79,298.8,300
11,13,Ball-1-PH.csv,270,10,37,6.56,294.7,300
12,13,Ball-1-PH.csv,270,12,37,7.02,302.3,300
13,13,Ball-1-PH.csv,270,11,33,6.55,295.1,300
14,13,Ball-1-PH.csv,270,10,33,6.31,290.5,300
15,13,Ball-1-PH.csv,270,12,33,6.77,299.2,300
16,13,Ball-1-PH.csv,270,11,47,7.39,304.1,300
17,13,Ball-1-PH.csv,270,10,47,7.17,301.3,300
18,13,Ball-1-PH.csv,270,12,47,7.6,306.4,300
1,14,Ball-1-PP.csv,254,10,42,6.94,283.2,300
2,14,Ball-1-PP.csv,254,9,42,6.72,280,300
3,14,Ball-1-PP.csv,254,11,42,7.15,285.8,300
4,14,Ball-1-PP.csv,254,10,37,6.64,281.2,300
5,14,Ball-1-PP.csv,254,9,37,6.4,277.2,300
6,14,Ball-1-PP.csv,254,11,37,6.86,284.5,300
7,14,Ball-1-PP.csv,254,10,52,7.43,281.1,300
8,14,Ball-1-PP.csv,254,9,52,7.25,279.5,300
9,14,Ball-1-PP.csv,254,11,52,7.61,282.3,300
10,14,Ball-1-PP.csv,270,11,37,7.31,304.7,300
11,14,Ball-1-PP.csv,270,10,37,7.09,301.8,300
12,14,Ball-1-PP.csv,270,12,37,7.51,307.2,300
13,14,Ball-1-PP.csv,270,11,33,7.05,302.8,300
14,14,Ball-1-PP.csv,270,10,33,6.82,299.2,300
15,14,Ball-1-PP.csv,270,12,33,7.27,305.8,300
16,14,Ball-1-PP.csv,270,11,47,7.86,303.8,300
17,14,Ball-1-PP.csv,270,10,47,7.67,302.3,300
18,14,Ball-1-PP.csv,270,12,47,8.04,304.9,300
1,15,Ball-1-27PH.csv,254,10,42,6.39,275.5,300
2,15,Ball-1-27PH.csv,254,9,42,6.15,271,300
3,15,Ball-1-27PH.csv,254,11,42,6.61,279.3,300
4,15,Ball-1-27PH.csv,254,10,37,6.06,270.6,300
5,15,Ball-1-27PH.csv,254,9,37,5.82,265.4,300
6,15,Ball-1-27PH.csv,254,11,37,6.3,275.2,300
7,15,Ball-1-27PH.csv,254,10,52,7,280.7,300
8,15,Ball-1-27PH.csv,254,9,52,6.78,277.7,300
9,15,Ball-1-27PH.csv,254,11,52,7.22,283.1,300
10,15,Ball-1-27PH.csv,270,11,37,6.73,295.8,300
11,15,Ball-1-27PH.csv,270,10,37,6.5,291.6,300
12,15,Ball-1-27PH.csv,270,12,37,6.95,299.4,300
13,15,Ball-1-27PH.csv,270,11,33,6.46,291.7,300
14,15,Ball-1-27PH.csv,270,10,33,6.22,287,300
15,15,Ball-1-27PH.csv,270,12,33,6.69,295.9,300
16,15,Ball-1-27PH.csv,270,11,47,7.37,301.7,300
17,15,Ball-1-27PH.csv,270,10,47,7.15,298.9,300
18,15,Ball-1-27PH.csv,270,12,47,7.58,303.9,300
1,16,Ball-2-27PH.csv,254,10,42,6.88,286.9,300
2,16,Ball-2-27PH.csv,254,9,42,6.64,283.3,300
3,16,Ball-2-27PH.csv,254,11,42,7.1,289.9,300
4,16,Ball-2-27PH.csv,254,10,37,6.54,284,300
5,16,Ball-2-27PH.csv,254,9,37,6.29,279.4,300
6,16,Ball-2-27PH.csv,254,11,37,6.77,287.8,300
7,16,Ball-2-27PH.csv,254,10,52,7.46,285.9,300
8,16,Ball-2-27PH.csv,254,9,52,7.25,284.1,300
