Launch Conditions:,,,,,,
Ball Speed (ft/s),Launch Angle (degrees),Spin Rate (rps),,Environmental Conditions:,,
254,10,42,,Temperature (F),75,
254,9,42,,Pressure (in Hg),30,
254,11,42,,Humidity (rel. %),50,
254,10,37,,,,
254,9,37,,,,
254,11,37,,,,
254,10,52,,,,
254,9,52,,,,
254,11,52,,,,
270,11,37,,,,
270,10,37,,,,
270,12,37,,,,
270,11,33,,,,
270,10,33,,,,
270,12,33,,,,
270,11,47,,,,
270,10,47,,,,
270,12,47,,,,
,,,,,,
Results:,,,,,,
Name,Ball Speed (ft/s),Launch Angle (degrees),Spin Rate (rps),Time (s),Carry (yards),Total (yards)
Ball-11-PH.csv,254,10,42,7.05,291.6,310.6
Ball-11-PH.csv,254,9,42,6.83,288.6,310.8
Ball-11-PH.csv,254,11,42,7.25,294.1,310.2
Ball-11-PH.csv,254,10,37,6.72,289.8,313.3
Ball-11-PH.csv,254,9,37,6.49,285.8,312.7
Ball-11-PH.csv,254,11,37,6.95,293.2,313.5
Ball-11-PH.csv,254,10,52,7.53,288.2,299.4
Ball-11-PH.csv,254,9,52,7.36,286.7,300.4
Ball-11-PH.csv,254,11,52,7.7,289.4,298.4
Ball-11-PH.csv,270,11,37,7.4,314.3,330.7
Ball-11-PH.csv,270,10,37,7.19,311.3,330.8
Ball-11-PH.csv,270,12,37,7.61,316.7,330.3
Ball-11-PH.csv,270,11,33,7.12,312.3,332.1
Ball-11-PH.csv,270,10,33,6.89,308.6,331.6
Ball-11-PH.csv,270,12,33,7.34,315.5,332.3
Ball-11-PH.csv,270,11,47,7.97,312.2,321
Ball-11-PH.csv,270,10,47,7.79,310.9,322
Ball-11-PH.csv,270,12,47,8.14,313.2,319.9
Ball-11-PP.csv,254,10,42,7.31,289.4,303.6
Ball-11-PP.csv,254,9,42,7.12,287.4,304.3
Ball-11-PP.csv,254,11,42,7.48,291,302.8
Ball-11-PP.csv,254,10,37,7.06,290.6,308.8
Ball-11-PP.csv,254,9,37,6.86,287.7,309.2
Ball-11-PP.csv,254,11,37,7.26,292.9,308.3
Ball-11-PP.csv,254,10,52,7.59,281.2,289.6
Ball-11-PP.csv,254,9,52,7.44,280.2,290.4
Ball-11-PP.csv,254,11,52,7.73,282,288.8
Ball-11-PP.csv,270,11,37,7.72,313.1,325
Ball-11-PP.csv,270,10,37,7.53,311.2,325.7
Ball-11-PP.csv,270,12,37,7.9,314.6,324.1
Ball-11-PP.csv,270,11,33,7.49,313.6,328.5
Ball-11-PP.csv,270,10,33,7.29,311,328.8
Ball-11-PP.csv,270,12,33,7.69,315.6,327.9
Ball-11-PP.csv,270,11,47,8.09,306.1,312.2
Ball-11-PP.csv,270,10,47,7.93,305.3,313.1
Ball-11-PP.csv,270,12,47,8.24,306.7,311.2
Ball-12-PH.csv,254,10,42,7.27,290.7,304.8
Ball-12-PH.csv,254,9,42,7.09,288.7,305.7
Ball-12-PH.csv,254,11,42,7.44,292.2,303.9
Ball-12-PH.csv,254,10,37,7.01,291.7,310.1
Ball-12-PH.csv,254,9,37,6.8,288.8,310.5
Ball-12-PH.csv,254,11,37,7.2,294,309.5
Ball-12-PH.csv,254,10,52,7.59,282.3,290.3
Ball-12-PH.csv,254,9,52,7.44,281.4,291.2
Ball-12-PH.csv,254,11,52,7.73,283,289.3
Ball-12-PH.csv,270,11,37,7.66,314.6,326.5
Ball-12-PH.csv,270,10,37,7.47,312.7,327.3
Ball-12-PH.csv,270,12,37,7.84,316.1,325.5
Ball-12-PH.csv,270,11,33,7.42,314.8,329.9
Ball-12-PH.csv,270,10,33,7.21,312.2,330.3
Ball-12-PH.csv,270,12,33,7.61,316.9,329.2
Ball-12-PH.csv,270,11,47,8.07,307.6,313.3
Ball-12-PH.csv,270,10,47,7.92,306.9,314.4
Ball-12-PH.csv,270,12,47,8.21,308.1,312.2
Ball-12-PP.csv,254,10,42,7.21,291.2,305.6
Ball-12-PP.csv,254,9,42,7.03,289.3,306.5
Ball-12-PP.csv,254,11,42,7.37,292.7,304.6
Ball-12-PP.csv,254,10,37,6.96,292.8,311.5
Ball-12-PP.csv,254,9,37,6.76,289.9,312
Ball-12-PP.csv,254,11,37,7.15,295.1,310.8
Ball-12-PP.csv,254,10,52,7.49,281.9,290.3
Ball-12-PP.csv,254,9,52,7.35,281,291.2
Ball-12-PP.csv,254,11,52,7.62,282.5,289.5
Ball-12-PP.csv,270,11,37,7.6,315.8,327.9
Ball-12-PP.csv,270,10,37,7.42,314,328.8
Ball-12-PP.csv,270,12,37,7.77,317.2,326.9
Ball-12-PP.csv,270,11,33,7.37,316.4,331.9
Ball-12-PP.csv,270,10,33,7.17,313.8,332.3
Ball-12-PP.csv,270,12,33,7.56,318.4,331.1
Ball-12-PP.csv,270,11,47,7.97,307.7,313.8
Ball-12-PP.csv,270,10,47,7.83,307,314.8
Ball-12-PP.csv,270,12,47,8.11,308.1,312.8
Ball-13-PH.csv,254,10,42,7.03,289.4,309.1
Ball-13-PH.csv,254,9,42,6.81,286.2,309.3
Ball-13-PH.csv,254,11,42,7.25,292.1,308.7
Ball-13-PH.csv,254,10,37,6.7,287.4,311.5
Ball-13-PH.csv,254,9,37,6.46,283.1,310.8
Ball-13-PH.csv,254,11,37,6.93,290.9,311.7
Ball-13-PH.csv,254,10,52,7.56,286.6,298.1
Ball-13-PH.csv,254,9,52,7.37,285,299.2
Ball-13-PH.csv,254,11,52,7.74,287.8,296.9
Ball-13-PH.csv,270,11,37,7.4,311.8,328.7
Ball-13-PH.csv,270,10,37,7.17,308.7,328.7
Ball-13-PH.csv,270,12,37,7.61,314.3,328.3
Ball-13-PH.csv,270,11,33,7.11,309.7,329.9
Ball-13-PH.csv,270,10,33,6.87,305.8,329.3
Ball-13-PH.csv,270,12,33,7.34,313,330.1
Ball-13-PH.csv,270,11,47,7.99,310.3,319.3
Ball-13-PH.csv,270,10,47,7.8,308.9,320.4
Ball-13-PH.csv,270,12,47,8.17,311.3,318
Ball-13-PP.csv,254,10,42,7.05,288.1,306.2
Ball-13-PP.csv,254,9,42,6.84,285.3,306.5
Ball-13-PP.csv,254,11,42,7.25,290.5,305.7
Ball-13-PP.csv,254,10,37,6.75,286.8,308.9
Ball-13-PP.csv,254,9,37,6.53,283,308.6
Ball-13-PP.csv,254,11,37,6.96,289.9,309
Ball-13-PP.csv,254,10,52,7.52,284.2,294.7
Ball-13-PP.csv,254,9,52,7.34,282.8,295.8
Ball-13-PP.csv,254,11,52,7.68,285.2,293.5
Ball-13-PP.csv,270,11,37,7.42,310.5,325.7
Ball-13-PP.csv,270,10,37,7.21,307.8,325.9
Ball-13-PP.csv,270,12,37,7.62,312.7,325.2
Ball-13-PP.csv,270,11,33,7.16,309,327.2
Ball-13-PP.csv,270,10,33,6.94,305.6,326.9
Ball-13-PP.csv,270,12,33,7.37,311.8,327.1
Ball-13-PP.csv,270,11,47,7.95,308,316.2
Ball-13-PP.csv,270,10,47,7.77,306.7,317.2
Ball-13-PP.csv,270,12,47,8.12,308.9,315
Ball-14-PH.csv,254,10,42,7.17,289.5,305.7
Ball-14-PH.csv,254,9,42,6.97,287.2,306.4
Ball-14-PH.csv,254,11,42,7.35,291.4,304.9
Ball-14-PH.csv,254,10,37,6.89,289.9,310.7
Ball-14-PH.csv,254,9,37,6.66,286.5,310.8
Ball-14-PH.csv,254,11,37,7.1,292.6,310.2
Ball-14-PH.csv,254,10,52,7.51,282.1,291.5
Ball-14-PH.csv,254,9,52,7.36,280.9,292.4
Ball-14-PH.csv,254,11,52,7.66,283.1,290.7
Ball-14-PH.csv,270,11,37,7.54,313.2,327.2
Ball-14-PH.csv,270,10,37,7.34,310.9,327.8
Ball-14-PH.csv,270,12,37,7.73,315,326.4
Ball-14-PH.csv,270,11,33,7.29,312.8,330.3
Ball-14-PH.csv,270,10,33,7.07,309.7,330.4
Ball-14-PH.csv,270,12,33,7.5,315.4,329.8
Ball-14-PH.csv,270,11,47,7.98,307.3,314.5
Ball-14-PH.csv,270,10,47,7.82,306.2,315.4
Ball-14-PH.csv,270,12,47,8.14,308,313.5
Ball-14-PP.csv,254,10,42,7.07,290.8,308
Ball-14-PP.csv,254,9,42,6.87,288.3,308.6
Ball-14-PP.csv,254,11,42,7.26,292.8,307.1
Ball-14-PP.csv,254,10,37,6.79,290.5,312
Ball-14-PP.csv,254,9,37,6.57,287,312
Ball-14-PP.csv,254,11,37,7,293.4,311.7
Ball-14-PP.csv,254,10,52,7.45,284.4,294.2
Ball-14-PP.csv,254,9,52,7.29,283.3,295.4
