Ball Name,Date of Test,Setting ID,Ball number,Ball Size (inches),Reynolds Number,Spin Ratio,Coefficient of Drag,Coefficient of Lift
Ball-11-PP,90223,1,1.1,1.682,2.232885121,0.057412679,0.218705859,0.140961937
Ball-11-PP,90223,2,1,1.682,2.227940314,0.087603351,0.229526889,0.168162122
Ball-11-PP,90223,3,1,1.682,1.771297862,0.061684473,0.220851996,0.144710074
Ball-11-PP,90223,4,1,1.682,1.77031158,0.078129239,0.223699431,0.16066799
Ball-11-PP,90223,5,1,1.682,1.767149347,0.101602838,0.23367578,0.184964272
Ball-11-PP,90223,6,1,1.682,1.294977891,0.083311483,0.220555941,0.165563795
Ball-11-PP,90223,7,1,1.682,1.284233888,0.134507351,0.255477815,0.227312769
Ball-11-PP,90223,8,1,1.682,1.047070598,0.105409684,0.236055965,0.199999958
Ball-11-PP,90223,9,1,1.682,1.038939936,0.138511847,0.269244678,0.244234603
Ball-11-PP,90223,10,1,1.682,1.02963651,0.173128367,0.297821094,0.27594694
Ball-11-PP,90223,11,1,1.682,0.858971327,0.127850866,0.265239592,0.235301783
Ball-11-PP,90223,12,1,1.682,0.847739978,0.191781417,0.316912965,0.288947112
Ball-11-PP,90223,13,1,1.682,0.765055306,0.148132367,0.265310108,0.228253831
Ball-11-PP,90223,14,1,1.682,0.751501091,0.174651787,0.291852456,0.258130094
Ball-11-PP,90223,15,1,1.682,0.739449817,0.211240107,0.30960344,0.276955135
